question_id,paper_id,task_type,question,gold_answer,gold_evidence_section,gold_evidence_page,notes
Q01,rag_2020,method,What is the main method proposed in this paper?,,Abstract; Methods,1;3,gold evidence pages manually assigned for page-level retrieval metrics
Q02,self_rag_2023,method,How does SELF-RAG decide when to retrieve?,,Abstract; Reflection token definitions,1;4,gold evidence pages manually assigned for page-level retrieval metrics
Q03,react_2022,method,How does ReAct combine reasoning and acting?,,Abstract; Method/Benchmarks overview,1;3,gold evidence pages manually assigned for page-level retrieval metrics
Q04,toolformer_2023,method,What tools does Toolformer use?,,Abstract; API table,1;5,gold evidence pages manually assigned for page-level retrieval metrics
Q05,react_2022,baseline,What baselines does ReAct compare against?,,Baselines/experiments,5;7;8,gold evidence pages manually assigned for page-level retrieval metrics
Q06,rag_2020,baseline,What baselines are used in RAG's open-domain QA experiments?,,Open-domain QA results table,6,gold evidence pages manually assigned for page-level retrieval metrics
Q07,self_rag_2023,baseline,What baseline models or retrieval-augmented systems does SELF-RAG compare against?,,Baselines/results/ablation,7;8;9,gold evidence pages manually assigned for page-level retrieval metrics
Q08,toolformer_2023,baseline,What baseline models does Toolformer compare against?,,Downstream results tables,7;8,gold evidence pages manually assigned for page-level retrieval metrics
Q09,rag_2020,experiment,What tasks or datasets are used to evaluate RAG?,,Evaluation tasks/results,4;5;6;8,gold evidence pages manually assigned for page-level retrieval metrics
Q10,react_2022,experiment,What benchmarks are used to evaluate ReAct?,,Evaluation benchmarks,3,gold evidence pages manually assigned for page-level retrieval metrics
Q11,self_rag_2023,experiment,What tasks are used to evaluate SELF-RAG?,,Evaluation tasks,7,gold evidence pages manually assigned for page-level retrieval metrics
Q12,toolformer_2023,experiment,What downstream tasks or datasets are used to evaluate Toolformer?,,Downstream evaluation tasks,6;7;8,gold evidence pages manually assigned for page-level retrieval metrics
Q13,rag_2020,limitation,What problems with parametric-only language models motivate retrieval-augmented generation?,,Abstract/motivation,1,gold evidence pages manually assigned for page-level retrieval metrics
Q14,react_2022,limitation,What failure modes or weaknesses of reasoning-only or acting-only approaches does ReAct discuss?,,Motivation; error analysis,1;5;6,gold evidence pages manually assigned for page-level retrieval metrics
Q15,self_rag_2023,limitation,What problem does SELF-RAG identify with retrieving a fixed number of passages in standard RAG?,,Introduction; fixed retrieval example,1;2,gold evidence pages manually assigned for page-level retrieval metrics
Q16,toolformer_2023,limitation,What limitations of Toolformer are discussed in the paper?,,Limitations,11,gold evidence pages manually assigned for page-level retrieval metrics
Q17,rag_2020,evidence_location,Which evidence explains the difference between RAG-Sequence and RAG-Token?,,RAG-Sequence/RAG-Token definitions,3;4,gold evidence pages manually assigned for page-level retrieval metrics
Q18,react_2022,evidence_location,Which evidence explains why interleaving thoughts and actions is useful in ReAct?,,Abstract; method/evaluation discussion,1;3;6,gold evidence pages manually assigned for page-level retrieval metrics
Q19,self_rag_2023,evidence_location,Which evidence explains that SELF-RAG uses reflection tokens to decide retrieval and critique outputs?,,Reflection token overview/definitions,1;4,gold evidence pages manually assigned for page-level retrieval metrics
Q20,toolformer_2023,evidence_location,Which evidence explains how Toolformer filters API calls?,,API call filtering method/table,2;3;5,gold evidence pages manually assigned for page-level retrieval metrics
Q21,rag_2020,not_answerable,Does the RAG paper discuss using GPT-4 as the generator model?,The provided evidence should be insufficient because GPT-4 is not discussed in the RAG 2020 paper.,N/A,N/A,not-answerable retrieval metric excluded
Q22,react_2022,not_answerable,Does the ReAct paper evaluate the method on medical diagnosis tasks?,The provided evidence should be insufficient unless retrieved text explicitly mentions medical diagnosis evaluation.,N/A,N/A,not-answerable retrieval metric excluded
Q23,self_rag_2023,not_answerable,Does SELF-RAG report experiments on image classification tasks?,"The provided evidence should be insufficient because the paper focuses on language tasks, not image classification.",N/A,N/A,not-answerable retrieval metric excluded
Q24,toolformer_2023,not_answerable,Does Toolformer use a code execution tool for running Python programs?,The provided evidence should be insufficient unless the retrieved text explicitly mentions a Python/code execution tool.,N/A,N/A,not-answerable retrieval metric excluded
