question_id,paper_id,task_type,retrieval_method,question,gold_evidence_page,retrieved_pages_top5,retrieved_chunks_top5,is_answerable,hit_at_5,recall_at_5,mrr,first_hit_rank
Q01,rag_2020,method,tfidf,What is the main method proposed in this paper?,1;3,7;9;9;10;1,rag_2020_p7_c2;rag_2020_p9_c2;rag_2020_p9_c1;rag_2020_p10_c1;rag_2020_p1_c1,True,1,0.5,0.2,5
Q01,rag_2020,method,bm25,What is the main method proposed in this paper?,1;3,7;7;5;9;6,rag_2020_p7_c2;rag_2020_p7_c1;rag_2020_p5_c1;rag_2020_p9_c2;rag_2020_p6_c2,True,0,0.0,0,
Q02,self_rag_2023,method,tfidf,How does SELF-RAG decide when to retrieve?,1;4,10;9;3;1;4,self_rag_2023_p10_c2;self_rag_2023_p9_c1;self_rag_2023_p3_c2;self_rag_2023_p1_c1;self_rag_2023_p4_c1,True,1,1.0,0.25,4
Q02,self_rag_2023,method,bm25,How does SELF-RAG decide when to retrieve?,1;4,2;4;3;6;5,self_rag_2023_p2_c1;self_rag_2023_p4_c1;self_rag_2023_p3_c2;self_rag_2023_p6_c1;self_rag_2023_p5_c1,True,1,0.5,0.5,2
Q03,react_2022,method,tfidf,How does ReAct combine reasoning and acting?,1;3,3;4;1;6;5,react_2022_p3_c1;react_2022_p4_c1;react_2022_p1_c1;react_2022_p6_c1;react_2022_p5_c2,True,1,1.0,1.0,1
Q03,react_2022,method,bm25,How does ReAct combine reasoning and acting?,1;3,1;3;4;1;3,react_2022_p1_c1;react_2022_p3_c1;react_2022_p4_c1;react_2022_p1_c2;react_2022_p3_c2,True,1,1.0,1.0,1
Q04,toolformer_2023,method,tfidf,What tools does Toolformer use?,1;5,11;8;5;7;4,toolformer_2023_p11_c1;toolformer_2023_p8_c1;toolformer_2023_p5_c2;toolformer_2023_p7_c1;toolformer_2023_p4_c1,True,1,0.5,0.3333333333333333,3
Q04,toolformer_2023,method,bm25,What tools does Toolformer use?,1;5,11;10;8;1;2,toolformer_2023_p11_c1;toolformer_2023_p10_c2;toolformer_2023_p8_c2;toolformer_2023_p1_c1;toolformer_2023_p2_c2,True,1,0.5,0.25,4
Q05,react_2022,baseline,tfidf,What baselines does ReAct compare against?,5;7;8,5;3;5;6;8,react_2022_p5_c2;react_2022_p3_c1;react_2022_p5_c1;react_2022_p6_c2;react_2022_p8_c2,True,1,0.6666666666666666,1.0,1
Q05,react_2022,baseline,bm25,What baselines does ReAct compare against?,5;7;8,7;7;1;33;4,react_2022_p7_c2;react_2022_p7_c1;react_2022_p1_c1;react_2022_p33_c1;react_2022_p4_c1,True,1,0.3333333333333333,1.0,1
Q06,rag_2020,baseline,tfidf,What baselines are used in RAG's open-domain QA experiments?,6,6;4;5;5;8,rag_2020_p6_c1;rag_2020_p4_c2;rag_2020_p5_c2;rag_2020_p5_c1;rag_2020_p8_c1,True,1,1.0,1.0,1
Q06,rag_2020,baseline,bm25,What baselines are used in RAG's open-domain QA experiments?,6,5;4;6;5;7,rag_2020_p5_c1;rag_2020_p4_c2;rag_2020_p6_c1;rag_2020_p5_c2;rag_2020_p7_c2,True,1,1.0,0.3333333333333333,3
Q07,self_rag_2023,baseline,tfidf,What baseline models or retrieval-augmented systems does SELF-RAG compare against?,7;8;9,1;10;9;8;1,self_rag_2023_p1_c1;self_rag_2023_p10_c2;self_rag_2023_p9_c1;self_rag_2023_p8_c2;self_rag_2023_p1_c2,True,1,0.6666666666666666,0.3333333333333333,3
Q07,self_rag_2023,baseline,bm25,What baseline models or retrieval-augmented systems does SELF-RAG compare against?,7;8;9,8;7;9;1;2,self_rag_2023_p8_c2;self_rag_2023_p7_c1;self_rag_2023_p9_c1;self_rag_2023_p1_c1;self_rag_2023_p2_c2,True,1,1.0,1.0,1
Q08,toolformer_2023,baseline,tfidf,What baseline models does Toolformer compare against?,7;8,7;5;8;6;5,toolformer_2023_p7_c1;toolformer_2023_p5_c2;toolformer_2023_p8_c1;toolformer_2023_p6_c1;toolformer_2023_p5_c1,True,1,1.0,1.0,1
Q08,toolformer_2023,baseline,bm25,What baseline models does Toolformer compare against?,7;8,5;5;6;7;7,toolformer_2023_p5_c2;toolformer_2023_p5_c1;toolformer_2023_p6_c1;toolformer_2023_p7_c1;toolformer_2023_p7_c2,True,1,0.5,0.25,4
Q09,rag_2020,experiment,tfidf,What tasks or datasets are used to evaluate RAG?,4;5;6;8,8;6;5;7;8,rag_2020_p8_c1;rag_2020_p6_c1;rag_2020_p5_c1;rag_2020_p7_c2;rag_2020_p8_c2,True,1,0.75,1.0,1
Q09,rag_2020,experiment,bm25,What tasks or datasets are used to evaluate RAG?,4;5;6;8,5;4;10;5;7,rag_2020_p5_c1;rag_2020_p4_c2;rag_2020_p10_c1;rag_2020_p5_c2;rag_2020_p7_c2,True,1,0.5,1.0,1
Q10,react_2022,experiment,tfidf,What benchmarks are used to evaluate ReAct?,3,3;6;5;8;5,react_2022_p3_c1;react_2022_p6_c2;react_2022_p5_c2;react_2022_p8_c2;react_2022_p5_c1,True,1,1.0,1.0,1
Q10,react_2022,experiment,bm25,What benchmarks are used to evaluate ReAct?,3,7;3;1;8;7,react_2022_p7_c1;react_2022_p3_c1;react_2022_p1_c1;react_2022_p8_c2;react_2022_p7_c2,True,1,1.0,0.5,2
Q11,self_rag_2023,experiment,tfidf,What tasks are used to evaluate SELF-RAG?,7,10;9;8;3;1,self_rag_2023_p10_c2;self_rag_2023_p9_c1;self_rag_2023_p8_c2;self_rag_2023_p3_c2;self_rag_2023_p1_c1,True,0,0.0,0,
Q11,self_rag_2023,experiment,bm25,What tasks are used to evaluate SELF-RAG?,7,4;10;7;10;2,self_rag_2023_p4_c1;self_rag_2023_p10_c2;self_rag_2023_p7_c1;self_rag_2023_p10_c1;self_rag_2023_p2_c2,True,1,1.0,0.3333333333333333,3
Q12,toolformer_2023,experiment,tfidf,What downstream tasks or datasets are used to evaluate Toolformer?,6;7;8,5;8;7;6;10,toolformer_2023_p5_c2;toolformer_2023_p8_c1;toolformer_2023_p7_c1;toolformer_2023_p6_c2;toolformer_2023_p10_c3,True,1,1.0,0.5,2
Q12,toolformer_2023,experiment,bm25,What downstream tasks or datasets are used to evaluate Toolformer?,6;7;8,8;5;17;10;7,toolformer_2023_p8_c1;toolformer_2023_p5_c2;toolformer_2023_p17_c1;toolformer_2023_p10_c2;toolformer_2023_p7_c1,True,1,0.6666666666666666,1.0,1
Q13,rag_2020,limitation,tfidf,What problems with parametric-only language models motivate retrieval-augmented generation?,1,1;9;6;7;9,rag_2020_p1_c1;rag_2020_p9_c2;rag_2020_p6_c2;rag_2020_p7_c2;rag_2020_p9_c1,True,1,1.0,1.0,1
Q13,rag_2020,limitation,bm25,What problems with parametric-only language models motivate retrieval-augmented generation?,1,1;9;6;7;4,rag_2020_p1_c1;rag_2020_p9_c2;rag_2020_p6_c2;rag_2020_p7_c2;rag_2020_p4_c2,True,1,1.0,1.0,1
Q14,react_2022,limitation,tfidf,What failure modes or weaknesses of reasoning-only or acting-only approaches does ReAct discuss?,1;5;6,6;3;4;6;5,react_2022_p6_c1;react_2022_p3_c1;react_2022_p4_c1;react_2022_p6_c2;react_2022_p5_c2,True,1,0.6666666666666666,1.0,1
Q14,react_2022,limitation,bm25,What failure modes or weaknesses of reasoning-only or acting-only approaches does ReAct discuss?,1;5;6,6;6;3;32;4,react_2022_p6_c1;react_2022_p6_c2;react_2022_p3_c1;react_2022_p32_c1;react_2022_p4_c1,True,1,0.3333333333333333,1.0,1
Q15,self_rag_2023,limitation,tfidf,What problem does SELF-RAG identify with retrieving a fixed number of passages in standard RAG?,1;2,1;10;9;2;1,self_rag_2023_p1_c1;self_rag_2023_p10_c2;self_rag_2023_p9_c1;self_rag_2023_p2_c2;self_rag_2023_p1_c2,True,1,1.0,1.0,1
Q15,self_rag_2023,limitation,bm25,What problem does SELF-RAG identify with retrieving a fixed number of passages in standard RAG?,1;2,1;2;2;9;6,self_rag_2023_p1_c1;self_rag_2023_p2_c1;self_rag_2023_p2_c2;self_rag_2023_p9_c1;self_rag_2023_p6_c1,True,1,1.0,1.0,1
Q16,toolformer_2023,limitation,tfidf,What limitations of Toolformer are discussed in the paper?,11,7;11;8;6;5,toolformer_2023_p7_c1;toolformer_2023_p11_c1;toolformer_2023_p8_c1;toolformer_2023_p6_c2;toolformer_2023_p5_c2,True,1,1.0,0.5,2
Q16,toolformer_2023,limitation,bm25,What limitations of Toolformer are discussed in the paper?,11,11;15;17;1;16,toolformer_2023_p11_c1;toolformer_2023_p15_c3;toolformer_2023_p17_c2;toolformer_2023_p1_c1;toolformer_2023_p16_c2,True,1,1.0,1.0,1
Q17,rag_2020,evidence_location,tfidf,Which evidence explains the difference between RAG-Sequence and RAG-Token?,3;4,8;3;6;4;7,rag_2020_p8_c1;rag_2020_p3_c1;rag_2020_p6_c1;rag_2020_p4_c1;rag_2020_p7_c2,True,1,1.0,0.5,2
Q17,rag_2020,evidence_location,bm25,Which evidence explains the difference between RAG-Sequence and RAG-Token?,3;4,7;7;3;8;6,rag_2020_p7_c2;rag_2020_p7_c1;rag_2020_p3_c1;rag_2020_p8_c1;rag_2020_p6_c1,True,1,0.5,0.3333333333333333,3
Q18,react_2022,evidence_location,tfidf,Which evidence explains why interleaving thoughts and actions is useful in ReAct?,1;3;6,3;6;5;4;5,react_2022_p3_c3;react_2022_p6_c1;react_2022_p5_c2;react_2022_p4_c1;react_2022_p5_c1,True,1,0.6666666666666666,1.0,1
Q18,react_2022,evidence_location,bm25,Which evidence explains why interleaving thoughts and actions is useful in ReAct?,1;3;6,6;3;3;5;4,react_2022_p6_c1;react_2022_p3_c2;react_2022_p3_c3;react_2022_p5_c1;react_2022_p4_c2,True,1,0.6666666666666666,1.0,1
Q19,self_rag_2023,evidence_location,tfidf,Which evidence explains that SELF-RAG uses reflection tokens to decide retrieval and critique outputs?,1;4,3;10;1;4;2,self_rag_2023_p3_c2;self_rag_2023_p10_c2;self_rag_2023_p1_c2;self_rag_2023_p4_c2;self_rag_2023_p2_c2,True,1,1.0,0.3333333333333333,3
Q19,self_rag_2023,evidence_location,bm25,Which evidence explains that SELF-RAG uses reflection tokens to decide retrieval and critique outputs?,1;4,3;10;1;6;4,self_rag_2023_p3_c2;self_rag_2023_p10_c2;self_rag_2023_p1_c2;self_rag_2023_p6_c1;self_rag_2023_p4_c1,True,1,1.0,0.3333333333333333,3
Q20,toolformer_2023,evidence_location,tfidf,Which evidence explains how Toolformer filters API calls?,2;3;5,9;2;3;8;15,toolformer_2023_p9_c1;toolformer_2023_p2_c2;toolformer_2023_p3_c1;toolformer_2023_p8_c2;toolformer_2023_p15_c1,True,1,0.6666666666666666,0.5,2
Q20,toolformer_2023,evidence_location,bm25,Which evidence explains how Toolformer filters API calls?,2;3;5,2;5;2;8;11,toolformer_2023_p2_c1;toolformer_2023_p5_c2;toolformer_2023_p2_c2;toolformer_2023_p8_c2;toolformer_2023_p11_c1,True,1,0.6666666666666666,1.0,1
Q21,rag_2020,not_answerable,tfidf,Does the RAG paper discuss using GPT-4 as the generator model?,,8;3;6;4;3,rag_2020_p8_c1;rag_2020_p3_c1;rag_2020_p6_c1;rag_2020_p4_c1;rag_2020_p3_c2,False,,,,
Q21,rag_2020,not_answerable,bm25,Does the RAG paper discuss using GPT-4 as the generator model?,,3;4;4;6;3,rag_2020_p3_c1;rag_2020_p4_c2;rag_2020_p4_c1;rag_2020_p6_c2;rag_2020_p3_c2,False,,,,
Q22,react_2022,not_answerable,tfidf,Does the ReAct paper evaluate the method on medical diagnosis tasks?,,8;7;6;8;5,react_2022_p8_c1;react_2022_p7_c1;react_2022_p6_c2;react_2022_p8_c2;react_2022_p5_c2,False,,,,
Q22,react_2022,not_answerable,bm25,Does the ReAct paper evaluate the method on medical diagnosis tasks?,,7;8;9;5;5,react_2022_p7_c1;react_2022_p8_c1;react_2022_p9_c2;react_2022_p5_c1;react_2022_p5_c2,False,,,,
Q23,self_rag_2023,not_answerable,tfidf,Does SELF-RAG report experiments on image classification tasks?,,10;8;9;1;3,self_rag_2023_p10_c2;self_rag_2023_p8_c2;self_rag_2023_p9_c1;self_rag_2023_p1_c1;self_rag_2023_p3_c2,False,,,,
Q23,self_rag_2023,not_answerable,bm25,Does SELF-RAG report experiments on image classification tasks?,,7;7;1;8;10,self_rag_2023_p7_c1;self_rag_2023_p7_c2;self_rag_2023_p1_c1;self_rag_2023_p8_c2;self_rag_2023_p10_c2,False,,,,
Q24,toolformer_2023,not_answerable,tfidf,Does Toolformer use a code execution tool for running Python programs?,,11;7;8;6;5,toolformer_2023_p11_c1;toolformer_2023_p7_c1;toolformer_2023_p8_c1;toolformer_2023_p6_c2;toolformer_2023_p5_c2,False,,,,
Q24,toolformer_2023,not_answerable,bm25,Does Toolformer use a code execution tool for running Python programs?,,3;10;11;8;6,toolformer_2023_p3_c1;toolformer_2023_p10_c2;toolformer_2023_p11_c1;toolformer_2023_p8_c1;toolformer_2023_p6_c1,False,,,,
