task_type,system,n,correctness,evidence_quality,grounding,navigation,avg_latency_seconds
baseline,plan_checker_agent,4,1.5,1.5,2.0,1.5,10.9675
baseline,plan_first_agent,4,1.75,1.75,2.0,1.75,5.785
baseline,single_pass_rag,4,1.5,1.5,2.0,1.5,3.515
evidence_location,plan_checker_agent,4,1.5,1.5,2.0,1.5,9.2225
evidence_location,plan_first_agent,4,2.0,2.0,2.0,2.0,5.27
evidence_location,single_pass_rag,4,1.75,1.75,2.0,1.75,2.84
experiment,plan_checker_agent,4,1.75,1.75,2.0,1.75,9.0675
experiment,plan_first_agent,4,1.75,1.75,2.0,1.75,6.5725
experiment,single_pass_rag,4,1.5,1.5,2.0,1.5,3.705
limitation,plan_checker_agent,4,2.0,2.0,2.0,2.0,9.9
limitation,plan_first_agent,4,2.0,2.0,2.0,2.0,6.355
limitation,single_pass_rag,4,1.75,1.75,2.0,1.75,3.6075
method,plan_checker_agent,4,2.0,2.0,2.0,2.0,10.105
method,plan_first_agent,4,2.0,2.0,2.0,2.0,6.1850000000000005
method,single_pass_rag,4,2.0,2.0,2.0,2.0,3.8724999999999996
not_answerable,plan_checker_agent,4,2.0,2.0,2.0,2.0,9.4575
not_answerable,plan_first_agent,4,2.0,2.0,2.0,2.0,5.1975
not_answerable,single_pass_rag,4,2.0,2.0,2.0,2.0,2.92
